Frequency,Channel A,Channel B
(ms),(V),(V)

1.55247993,-5.28820100,-3.14899100
1.55748793,-5.26851600,-3.15883400
1.56249593,-5.28820100,-3.14899100
1.56750393,-5.26851600,-3.15883400
1.57251193,-5.24883100,-3.14899100
1.57751993,-5.24883100,-3.13914900
1.58252793,-5.22914600,-3.13914900
1.58753593,-5.22914600,-3.12930600
1.59254393,-5.22914600,-3.13914900
1.59755193,-5.22914600,-3.14899100
1.60255993,-5.22914600,-3.14899100
1.60756793,-5.22914600,-3.15883400
1.61257593,-5.22914600,-3.14899100
1.61758393,-5.22914600,-3.14899100
1.62259193,-5.20915300,-3.14899100
1.62759993,-5.20915300,-3.14899100
1.63260793,-5.20915300,-3.14899100
1.63761593,-5.20915300,-3.14899100
1.64262393,-5.22914600,-3.14899100
1.64763193,-5.22914600,-3.13914900
1.65263993,-5.22914600,-3.13914900
1.65764793,-5.22914600,-3.13914900
1.66265593,-5.22914600,-3.13914900
1.66766393,-5.20915300,-3.13914900
1.67267193,-5.18946800,-3.13914900
1.67767993,-5.16947600,-3.12930600
1.68268793,-5.14979100,-3.12930600
1.68769593,-5.14979100,-3.13914900
1.69270393,-5.14979100,-3.13914900
1.69771193,-5.14979100,-3.13914900
1.70271993,-5.14979100,-3.13914900
1.70772793,-5.14979100,-3.12930600
1.71273593,-5.14979100,-3.13914900
1.71774393,-5.14979100,-3.13914900
1.72275193,-5.14979100,-3.13914900
1.72775993,-5.14979100,-3.13914900
1.73276793,-5.12979800,-3.13914900
1.73777593,-5.12979800,-3.13914900
1.74278393,-5.11011300,-3.12915200
1.74779193,-5.09042800,-3.12915200
1.75279993,-5.09042800,-3.11931000
1.75780793,-5.07074300,-3.11931000
1.76281593,-5.07074300,-3.12930600
1.76782393,-5.07074300,-3.12930600
1.77283193,-5.07074300,-3.12930600
1.77783993,-5.07074300,-3.12930600
1.78284792,-5.07074300,-3.12930600
1.78785592,-5.07074300,-3.12930600
1.79286392,-5.07074300,-3.11931000
1.79787192,-5.07074300,-3.10946700
1.80287992,-5.07074300,-3.09947100
1.80788792,-5.05075000,-3.09947100
1.81289592,-5.05075000,-3.10946700
1.81790392,-5.05075000,-3.11931000
1.82291192,-5.05075000,-3.12930600
1.82791992,-5.05075000,-3.12930600
1.83292792,-5.05075000,-3.12930600
1.83793592,-5.03106500,-3.11931000
1.84294392,-5.03106500,-3.10946700
1.84795192,-5.03106500,-3.09947100
1.85295992,-5.01107300,-3.09947100
1.85796792,-5.03106500,-3.10946700
1.86297592,-5.01107300,-3.11931000
1.86798392,-5.01107300,-3.12930600
1.87299192,-5.01107300,-3.11931000
1.87799992,-4.99138800,-3.10946700
1.88300792,-4.99138800,-3.09947100
1.88801592,-4.99138800,-3.09947100
1.89302392,-4.99138800,-3.09947100
1.89803192,-4.97139500,-3.10946700
1.90303992,-4.97139500,-3.11931000
1.90804792,-4.95171000,-3.10946700
1.91305592,-4.93171700,-3.11931000
1.91806392,-4.93171700,-3.11931000
1.92307192,-4.93171700,-3.09947100
1.92807992,-4.95171000,-3.10946700
1.93308792,-4.95171000,-3.09947100
1.93809592,-4.95171000,-3.09947100
1.94310392,-4.93171700,-3.10946700
1.94811192,-4.91203300,-3.09947100
1.95311992,-4.91203300,-3.09947100
1.95812792,-4.91203300,-3.08962800
1.96313592,-4.91203300,-3.08962800
1.96814392,-4.91203300,-3.08962800
1.97315192,-4.91203300,-3.08962800
1.97815992,-4.91203300,-3.08962800
1.98316792,-4.91203300,-3.08962800
1.98817592,-4.91203300,-3.08962800
1.99318392,-4.91203300,-3.08962800
1.99819192,-4.89204000,-3.08962800
2.00319992,-4.87235500,-3.08962800
2.00820792,-4.85267000,-3.08962800
2.01321592,-4.83298500,-3.08962800
2.01822392,-4.83298500,-3.08962800
2.02323191,-4.83298500,-3.08962800
2.02823991,-4.83298500,-3.08962800
2.03324791,-4.83298500,-3.08962800
2.03825591,-4.83298500,-3.08962800
2.04326391,-4.83298500,-3.08962800
2.04827191,-4.83298500,-3.08962800
2.05327991,-4.83298500,-3.09947100
2.05828791,-4.81299200,-3.09947100
2.06329591,-4.81299200,-3.08962800
2.06830391,-4.79330700,-3.08962800
2.07331191,-4.77331400,-3.06979000
2.07831991,-4.77331400,-3.06979000
2.08332791,-4.75362900,-3.07963200
2.08833591,-4.75362900,-3.08962800
2.09334391,-4.75362900,-3.09947100
2.09835191,-4.75362900,-3.09947100
2.10335991,-4.75362900,-3.08962800
2.10836791,-4.73363700,-3.07963200
2.11337591,-4.73363700,-3.07963200
2.11838391,-4.71395200,-3.06979000
2.12339191,-4.71395200,-3.06979000
2.12839991,-4.73363700,-3.06979000
2.13340791,-4.71395200,-3.05979300
2.13841591,-4.71395200,-3.05979300
2.14342391,-4.69426700,-3.04995100
2.14843191,-4.67458200,-3.03995500
2.15343991,-4.67458200,-3.03995500
2.15844791,-4.67458200,-3.04995100
2.16345591,-4.67458200,-3.05979300
2.16846391,-4.67458200,-3.06979000
2.17347191,-4.67458200,-3.06979000
2.17847991,-4.65458900,-3.05979300
2.18348791,-4.65458900,-3.05979300
2.18849591,-4.65458900,-3.04995100
2.19350391,-4.65458900,-3.04995100
2.19851191,-4.67458200,-3.04995100
2.20351991,-4.65458900,-3.04995100
2.20852791,-4.63490400,-3.04995100
2.21353591,-4.61491200,-3.04995100
2.21854391,-4.59522600,-3.04995100
2.22355191,-4.59522600,-3.04995100
2.22855991,-4.57523400,-3.04995100
2.23356791,-4.57523400,-3.04995100
2.23857591,-4.57523400,-3.04995100
2.24358391,-4.57523400,-3.03995500
2.24859191,-4.59522600,-3.03995500
2.25359991,-4.59522600,-3.03995500
2.25860790,-4.57523400,-3.03995500
2.26361590,-4.55554900,-3.05979300
2.26862390,-4.53555600,-3.04995100
2.27363190,-4.51587100,-3.04995100
2.27863990,-4.51587100,-3.04995100
2.28364790,-4.51587100,-3.03011200
2.28865590,-4.51587100,-3.03995500
2.29366390,-4.51587100,-3.03011200
2.29867190,-4.51587100,-3.03011200
2.30367990,-4.51587100,-3.03011200
2.30868790,-4.49587900,-3.03011200
2.31369590,-4.49587900,-3.03995500
2.31870390,-4.47619300,-3.03995500
2.32371190,-4.45650900,-3.04995100
2.32871990,-4.45650900,-3.04995100
2.33372790,-4.43682300,-3.04995100
2.33873590,-4.43682300,-3.04995100
2.34374390,-4.43682300,-3.03995500
2.34875190,-4.43682300,-3.03995500
2.35375990,-4.43682300,-3.03995500
2.35876790,-4.43682300,-3.03995500
2.36377590,-4.43682300,-3.03995500
2.36878390,-4.43682300,-3.03995500
2.37379190,-4.43682300,-3.02027000
2.37879990,-4.41683100,-3.01027300
2.38380790,-4.39714500,-3.01027300
2.38881590,-4.37715300,-3.01027300
2.39382390,-4.35746800,-3.03011200
2.39883190,-4.35746800,-3.03011200
2.40383990,-4.35746800,-3.03011200
2.40884790,-4.35746800,-3.02027000
2.41385590,-4.35746800,-3.01042700
2.41886390,-4.35746800,-3.01042700
2.42387190,-4.35746800,-3.01042700
2.42887990,-4.35746800,-3.01042700
2.43388790,-4.35746800,-3.01042700
2.43889590,-4.33747500,-3.01042700
2.44390390,-4.33747500,-3.01042700
2.44891190,-4.33747500,-3.01042700
2.45391990,-4.31779000,-3.01042700
2.45892790,-4.31779000,-3.01042700
2.46393590,-4.29810500,-3.02027000
2.46894390,-4.27842000,-3.02027000
2.47395190,-4.27842000,-3.01027300
2.47895990,-4.27842000,-3.01027300
2.48396790,-4.27842000,-3.01027300
2.48897590,-4.25842800,-3.01027300
2.49398389,-4.25842800,-3.02027000
2.49899189,-4.25842800,-3.02027000
2.50399989,-4.25842800,-3.00043100
2.50900789,-4.25842800,-3.00043100
2.51401589,-4.25842800,-3.00043100
2.51902389,-4.23874300,-2.99058800
2.52403189,-4.21875000,-3.00043100
2.52903989,-4.21875000,-3.00043100
2.53404789,-4.19906500,-3.00043100
2.53905589,-4.19906500,-3.00043100
2.54406389,-4.19906500,-3.00043100
2.54907189,-4.19906500,-3.00043100
2.55407989,-4.17907200,-3.00043100
2.55908789,-4.17907200,-3.01042700
2.56409589,-4.17907200,-3.01042700
2.56910389,-4.15938800,-3.01042700
2.57411189,-4.15938800,-3.00043100
2.57911989,-4.13939500,-2.99058800
2.58412789,-4.13939500,-2.99058800
2.58913589,-4.13939500,-2.99058800
2.59414389,-4.13939500,-2.99058800
2.59915189,-4.13939500,-2.99058800
2.60415989,-4.11971000,-2.99058800
2.60916789,-4.11971000,-2.98059200
2.61417589,-4.11971000,-2.98059200
2.61918389,-4.11971000,-2.98059200
2.62419189,-4.11971000,-2.97074900
2.62919989,-4.11971000,-2.97074900
2.63420789,-4.11971000,-2.98059200
2.63921589,-4.09971700,-2.99058800
2.64422389,-4.08003200,-2.99058800
2.64923189,-4.06034700,-2.99058800
2.65423989,-4.04066200,-2.98059200
2.65924789,-4.04066200,-2.97074900
2.66425589,-4.04066200,-2.97074900
2.66926389,-4.04066200,-2.97074900
2.67427189,-4.04066200,-2.97074900
2.67927989,-4.04066200,-2.97074900
2.68428789,-4.02066900,-2.97074900
2.68929589,-4.00098400,-2.97074900
2.69430389,-3.98099200,-2.97074900
2.69931189,-3.96130700,-2.98059200
2.70431989,-3.96130700,-2.98059200
2.70932789,-3.96130700,-2.98059200
2.71433589,-3.96130700,-2.98059200
2.71934389,-3.96130700,-2.97074900
2.72435189,-3.96130700,-2.96075300
2.72935989,-3.96130700,-2.96075300
2.73436788,-3.96130700,-2.96075300
2.73937588,-3.96130700,-2.96075300
2.74438388,-3.96130700,-2.97074900
2.74939188,-3.94131400,-2.96075300
2.75439988,-3.92162900,-2.96075300
2.75940788,-3.90194400,-2.96075300
2.76441588,-3.90194400,-2.95091000
2.76942388,-3.90194400,-2.96075300
2.77443188,-3.90194400,-2.95091000
2.77943988,-3.90194400,-2.94106800
2.78444788,-3.88225900,-2.94106800
2.78945588,-3.88225900,-2.94106800
2.79446388,-3.88225900,-2.94106800
2.79947188,-3.88225900,-2.95091000
2.80447988,-3.88225900,-2.96075300
2.80948788,-3.86226600,-2.95091000
2.81449588,-3.86226600,-2.96075300
2.81950388,-3.84258100,-2.95091000
2.82451188,-3.82258900,-2.94106800
2.82951988,-3.82258900,-2.95091000
2.83452788,-3.80290400,-2.95091000
2.83953588,-3.80290400,-2.96075300
2.84454388,-3.80290400,-2.95091000
2.84955188,-3.80290400,-2.95091000
2.85455988,-3.80290400,-2.94106800
2.85956788,-3.80290400,-2.93107200
2.86457588,-3.80290400,-2.94106800
2.86958388,-3.78291100,-2.93122500
2.87459188,-3.78291100,-2.94106800
2.87959988,-3.76322600,-2.95091000
2.88460788,-3.76322600,-2.94106800
2.88961588,-3.76322600,-2.94106800
2.89462388,-3.74323300,-2.93107200
2.89963188,-3.74323300,-2.92122900
2.90463988,-3.72354800,-2.93122500
2.90964788,-3.72354800,-2.93122500
2.91465588,-3.72354800,-2.93122500
2.91966388,-3.72354800,-2.93122500
2.92467188,-3.70355600,-2.93122500
2.92967988,-3.70355600,-2.93122500
2.93468788,-3.70355600,-2.93122500
2.93969588,-3.70355600,-2.93122500
2.94470388,-3.72354800,-2.93122500
2.94971188,-3.70355600,-2.93122500
2.95471988,-3.68387000,-2.92122900
2.95972788,-3.66418600,-2.91138600
2.96473588,-3.64450000,-2.90139000
2.96974387,-3.64450000,-2.90139000
2.97475187,-3.64450000,-2.91138600
2.97975987,-3.64450000,-2.92122900
2.98476787,-3.64450000,-2.93122500
2.98977587,-3.64450000,-2.93122500
2.99478387,-3.64450000,-2.93122500
2.99979187,-3.62450800,-2.92122900
3.00479987,-3.62450800,-2.92122900
3.00980787,-3.60482300,-2.92122900
3.01481587,-3.58483000,-2.91138600
3.01982387,-3.58483000,-2.92122900
3.02483187,-3.56514500,-2.91138600
3.02983987,-3.56514500,-2.90139000
3.03484787,-3.56514500,-2.91138600
3.03985587,-3.56514500,-2.90139000
3.04486387,-3.56514500,-2.91138600
3.04987187,-3.54515300,-2.91138600
3.05487987,-3.54515300,-2.90139000
3.05988787,-3.54515300,-2.90139000
3.06489587,-3.54515300,-2.89154800
3.06990387,-3.54515300,-2.88155100
3.07491187,-3.54515300,-2.88155100
3.07991987,-3.52546700,-2.88155100
3.08492787,-3.50578300,-2.88155100
3.08993587,-3.50578300,-2.88155100
3.09494387,-3.48609700,-2.88155100
3.09995187,-3.48609700,-2.88155100
3.10495987,-3.48609700,-2.88155100
3.10996787,-3.46610500,-2.88155100
3.11497587,-3.44642000,-2.88155100
3.11998387,-3.42642700,-2.88155100
3.12499187,-3.42642700,-2.87170900
3.12999987,-3.42642700,-2.87170900
3.13500787,-3.42642700,-2.87170900
3.14001587,-3.42642700,-2.87170900
3.14502387,-3.40674200,-2.87170900
3.15003187,-3.40674200,-2.88155100
3.15503987,-3.40674200,-2.88155100
3.16004787,-3.40674200,-2.88155100
3.16505587,-3.40674200,-2.89154800
3.17006387,-3.38675000,-2.89154800
3.17507187,-3.38675000,-2.88155100
3.18007987,-3.36706400,-2.88155100
3.18508787,-3.34707200,-2.86186600
3.19009587,-3.34707200,-2.86186600
3.19510387,-3.32738700,-2.86186600
3.20011187,-3.32738700,-2.86186600
3.20511987,-3.32738700,-2.87170900
3.21012786,-3.32738700,-2.86186600
3.21513586,-3.32738700,-2.86186600
3.22014386,-3.32738700,-2.85202400
3.22515186,-3.32738700,-2.85202400
3.23015986,-3.30739400,-2.85202400
3.23516786,-3.28770900,-2.85202400
3.24017586,-3.28770900,-2.85202400
3.24518386,-3.26802400,-2.85202400
3.25019186,-3.26802400,-2.85202400
3.25519986,-3.26802400,-2.85202400
3.26020786,-3.24833900,-2.85202400
3.26521586,-3.24833900,-2.84202800
3.27022386,-3.22834600,-2.84202800
3.27523186,-3.22834600,-2.84202800
3.28023986,-3.22834600,-2.84202800
3.28524786,-3.20866100,-2.85202400
3.29025586,-3.20866100,-2.84202800
3.29526386,-3.18866900,-2.84202800
3.30027186,-3.16898400,-2.84202800
3.30527986,-3.16898400,-2.83218500
3.31028786,-3.16898400,-2.84202800
3.31529586,-3.16898400,-2.83218500
3.32030386,-3.16898400,-2.83218500
3.32531186,-3.16898400,-2.83218500
3.33031986,-3.16898400,-2.82218900
3.33532786,-3.16898400,-2.82218900
3.34033586,-3.14899100,-2.81234600
3.34534386,-3.12930600,-2.81234600
3.35035186,-3.10962100,-2.82218900
3.35535986,-3.08993600,-2.82218900
3.36036786,-3.08993600,-2.83218500
3.36537586,-3.08993600,-2.84202800
3.37038386,-3.08993600,-2.83218500
3.37539186,-3.08993600,-2.83218500
3.38039986,-3.06994300,-2.82218900
3.38540786,-3.06994300,-2.81234600
3.39041586,-3.06994300,-2.81234600
3.39542386,-3.05025800,-2.81234600
3.40043186,-3.05025800,-2.81234600
3.40543986,-3.03026600,-2.81234600
3.41044786,-3.01058100,-2.81234600
3.41545586,-3.01058100,-2.81234600
3.42046386,-3.01058100,-2.81234600
3.42547186,-3.01058100,-2.80235000
3.43047986,-3.01058100,-2.80235000
3.43548786,-3.01058100,-2.80235000
3.44049586,-2.99058800,-2.80235000
3.44550385,-2.97090300,-2.80235000
3.45051185,-2.95091000,-2.80235000
3.45551985,-2.93122500,-2.80235000
3.46052785,-2.93122500,-2.79250700
3.46553585,-2.93122500,-2.79250700
3.47054385,-2.93122500,-2.79250700
3.47555185,-2.93122500,-2.78251100
3.48055985,-2.93122500,-2.79250700
